symbol,decision_session,next_evaluation_session,action,strategy_forward_return,same_stock_buy_hold_forward_return,underlying_forward_close_return,SPY_forward_return,strategy_excess_vs_stock,strategy_excess_vs_spy,commission_cost_in_period,slippage_cost_in_period,transaction_cost_in_period,average_exposure_in_period
AAPL,2024-01-05,2024-01-12,HOLD,0.0,0.020013297396594965,0.026161859426987455,0.016595174092710163,-0.020013297396594965,-0.016595174092710163,0.0,0.0,0.0,0.0
AAPL,2024-01-12,2024-01-19,HOLD,0.0,0.030335625293696822,0.030335625293696822,0.012062599832292076,-0.030335625293696822,-0.012062599832292076,0.0,0.0,0.0,0.0
AAPL,2024-01-19,2024-01-26,HOLD,0.0,0.00448945818946922,0.00448945818946922,0.010322764080501257,-0.00448945818946922,-0.010322764080501257,0.0,0.0,0.0,0.0
AAPL,2024-01-26,2024-02-02,HOLD,0.0,-0.034144019132414716,-0.034144019132414716,0.014238530902766389,0.034144019132414716,-0.014238530902766389,0.0,0.0,0.0,0.0
AAPL,2024-02-02,2024-02-09,HOLD,0.0,0.017433413471380943,0.016142049510537992,0.013856591515069905,-0.017433413471380943,-0.013856591515069905,0.0,0.0,0.0,0.0
AAPL,2024-02-09,2024-02-16,HOLD,0.0,-0.03458674858015143,-0.03463070314404404,-0.003371912128616761,0.03458674858015143,0.003371912128616761,0.0,0.0,0.0,0.0
AAPL,2024-02-16,2024-02-23,SELL,0.0,0.0011504064791070245,0.0011519209191190871,0.016696354700357796,-0.0011504064791070245,-0.016696354700357796,0.0,0.0,0.0,0.0
AAPL,2024-02-23,2024-03-01,SELL,0.0,-0.015648941413381245,-0.01566951858766752,0.009845366623891572,0.015648941413381245,-0.009845366623891572,0.0,0.0,0.0,0.0
AAPL,2024-03-01,2024-03-08,SELL,0.0,-0.049638731608319664,-0.04970504183508495,-0.0022033234937332002,0.049638731608319664,0.0022033234937332002,0.0,0.0,0.0,0.0
AAPL,2024-03-08,2024-03-15,HOLD,0.0,0.011054567746006105,0.011070107465597667,-0.0005765156712816966,-0.011054567746006105,0.0005765156712816966,0.0,0.0,0.0,0.0
AAPL,2024-03-15,2024-03-22,HOLD,0.0,-0.0019668882890071515,-0.001969622926956238,0.022251621837359847,0.0019668882890071515,-0.022251621837359847,0.0,0.0,0.0,0.0
AAPL,2024-03-22,2024-03-28,HOLD,0.0,-0.004637161520777866,-0.004643621462574576,0.0035577035830387516,0.004637161520777866,-0.0035577035830387516,0.0,0.0,0.0,0.0
AAPL,2024-03-28,2024-04-05,SELL,0.0,-0.011064488397258931,-0.011079974035711926,-0.008843766089677407,0.011064488397258931,0.008843766089677407,0.0,0.0,0.0,0.0
AAPL,2024-04-05,2024-04-12,SELL,0.0,0.041043464998950396,0.04110155222324097,-0.014576196733630531,-0.041043464998950396,0.014576196733630531,0.0,0.0,0.0,0.0
AAPL,2024-04-12,2024-04-19,HOLD,0.0,-0.0653317659226853,-0.0654205771577242,-0.03061792429086163,0.0653317659226853,0.03061792429086163,0.0,0.0,0.0,0.0
AAPL,2024-04-19,2024-04-26,HOLD,0.0,0.026022773541515498,0.026060624848484926,0.026371160838696506,-0.026022773541515498,-0.026371160838696506,0.0,0.0,0.0,0.0
AAPL,2024-04-26,2024-05-03,HOLD,0.0,0.08304825729945975,0.08316598666382413,0.005942863445018487,-0.08304825729945975,-0.005942863445018487,0.0,0.0,0.0,0.0
AAPL,2024-05-03,2024-05-10,HOLD,0.0,-0.0004356921787663781,-0.0017995517023785546,0.01862019408196458,0.0004356921787663781,-0.01862019408196458,0.0,0.0,0.0,0.0
AAPL,2024-05-10,2024-05-17,HOLD,0.0,0.03715806845815628,0.037257535561331157,0.016480490121593583,-0.03715806845815628,-0.016480490121593583,0.0,0.0,0.0,0.0
AAPL,2024-05-17,2024-05-24,HOLD,0.0,0.0005778556568158955,0.0005793469365291681,-1.8849249630248366e-05,-0.0005778556568158955,1.8849249630248366e-05,0.0,0.0,0.0,0.0
AAPL,2024-05-24,2024-05-31,HOLD,0.0,0.011917910176127533,0.011948649075582685,-0.0038980618803745593,-0.011917910176127533,0.0038980618803745593,0.0,0.0,0.0,0.0
AAPL,2024-05-31,2024-06-07,HOLD,0.0,0.02407387880045664,0.02413523745123536,0.012552843310065676,-0.02407387880045664,-0.012552843310065676,0.0,0.0,0.0,0.0
AAPL,2024-06-07,2024-06-14,HOLD,0.0,0.07903539440379581,0.07923208973304519,0.016374043071917477,-0.07903539440379581,-0.016374043071917477,0.0,0.0,0.0,0.0
